:+1:	👍
:female-detective:	🕵️‍♀️
:female-doctor:	👩‍⚕️
:female-factory-worker:	👩‍🏭
:female-farmer:	👩‍🌾
:female-firefighter:	👩‍🚒
:female-guard:	💂‍♀️
:female-judge:	👩‍⚖️
:female-mechanic:	👩‍🔧
:female-office-worker:	👩‍💼
:female-pilot:	👩‍✈️
:female-police-officer:	👮‍♀️
:female-scientist:	👩‍🔬
:female-singer:	👩‍🎤
:female-student:	👩‍🎓
:female-teacher:	👩‍🏫
:female-technologist:	👩‍💻
:female_detective:	🕵️‍♀️
:female_elf:	🧝‍♀️
:female_fairy:	🧚‍♀️
:female_genie:	🧞‍♀️
:female_mage:	🧙‍♀️
:female_sign:	♀️
:female_superhero:	🦸‍♀️
:female_supervillain:	🦹‍♀️
:female_vampire:	🧛‍♀️
:female_zombie:	🧟‍♀️
:fencer:	🤺
:ferris_wheel:	🎡
:ferry:	⛴️
:field_hockey:	🏑
:field_hockey_stick_and_ball:	🏑
:fiji:	🇫🇯
:file_cabinet:	🗄️
:file_folder:	📁
